Geo_GEOID,Origin_Native_Born,Origin_Foreign_Born,Origin_Foreign_Origin_Naturalized_Citizen,Origin_Foreign_Origin_Not_a_Citizen
14000US36005000100,5761,1103,231,872
14000US36005000200,3210,1322,616,706
14000US36005000400,4623,893,657,236
14000US36005001600,4082,1743,996,747
14000US36005001900,2364,777,520,257
14000US36005002000,7154,1886,1240,646
14000US36005002300,3331,971,440,531
14000US36005002400,65,90,0,90
14000US36005002500,3612,1998,654,1344
14000US36005002701,2143,465,161,304
14000US36005002702,3423,1137,631,506
14000US36005002800,4469,682,278,404
14000US36005003100,1121,568,358,210
14000US36005003300,2402,875,533,342
14000US36005003500,2870,1037,657,380
14000US36005003700,157,93,69,24
14000US36005003800,1074,276,132,144
14000US36005003900,4017,2243,481,1762
14000US36005004001,968,507,300,207
14000US36005004100,3833,2109,1255,854
14000US36005004200,6557,1140,565,575
14000US36005004300,4251,1301,570,731
14000US36005004400,3662,739,467,272
14000US36005004600,1456,505,165,340
14000US36005004800,2700,1863,487,1376
14000US36005005001,2659,1945,513,1432
14000US36005005002,3132,2460,463,1997
14000US36005005100,4369,1368,710,658
14000US36005005200,1355,601,147,454
14000US36005005300,4074,814,276,538
14000US36005005400,2822,2502,1163,1339
14000US36005005600,1343,936,422,514
14000US36005005902,1635,1116,566,550
14000US36005006000,856,530,270,260
14000US36005006100,3118,602,515,87
14000US36005006200,4789,2444,945,1499
14000US36005006300,2604,1978,1009,969
14000US36005006400,1924,2008,1115,893
14000US36005006500,3654,1723,372,1351
14000US36005006700,4377,2328,1053,1275
14000US36005006800,1943,1287,618,669
14000US36005006900,5503,2298,1488,810
14000US36005007000,2438,1940,1042,898
14000US36005007100,1971,824,504,320
14000US36005007200,2909,3346,1678,1668
14000US36005007300,2902,1395,493,902
14000US36005007400,3093,541,405,136
14000US36005007500,5515,1177,645,532
14000US36005007600,2778,2533,1142,1391
14000US36005007700,1130,892,417,475
14000US36005007800,4366,3049,1644,1405
14000US36005007900,5103,2085,1006,1079
14000US36005008300,4372,2341,772,1569
14000US36005008400,2147,752,582,170
14000US36005008500,3903,1728,923,805
14000US36005008600,2981,955,436,519
14000US36005008700,4102,2025,841,1184
14000US36005008900,2276,942,441,501
14000US36005009000,2816,643,306,337
14000US36005009200,3792,2056,1278,778
14000US36005009300,3790,2364,564,1800
14000US36005009600,2033,759,464,295
14000US36005009800,3468,1288,944,344
14000US36005011000,0,0,0,0
14000US36005011502,3013,1569,574,995
14000US36005011700,1068,375,167,208
14000US36005011800,4849,654,452,202
14000US36005011900,3430,2010,652,1358
14000US36005012101,2000,1070,392,678
14000US36005012102,1131,316,233,83
14000US36005012300,3035,1233,909,324
14000US36005012500,2260,1600,742,858
14000US36005012701,1303,625,377,248
14000US36005012901,3240,1179,454,725
14000US36005013000,1329,147,100,47
14000US36005013100,3417,1667,722,945
14000US36005013200,6464,808,447,361
14000US36005013300,4469,1531,899,632
14000US36005013500,2548,1042,558,484
14000US36005013800,2267,321,194,127
14000US36005014100,3816,2035,874,1161
14000US36005014300,908,574,328,246
14000US36005014400,4218,920,641,279
14000US36005014500,5565,1871,928,943
14000US36005014701,5815,1188,543,645
14000US36005014702,3924,1511,770,741
14000US36005014900,2550,1869,819,1050
14000US36005015100,2882,2427,1129,1298
14000US36005015200,2030,451,301,150
14000US36005015300,3124,1350,768,582
14000US36005015500,1684,1243,588,655
14000US36005015700,2985,1719,1042,677
14000US36005015800,990,324,206,118
14000US36005015900,1385,584,289,295
14000US36005016000,3132,534,311,223
14000US36005016100,3131,1519,791,728
14000US36005016200,1610,260,144,116
14000US36005016300,0,0,0,0
14000US36005016400,928,118,92,26
14000US36005016500,608,357,135,222
14000US36005016600,1817,427,286,141
14000US36005016700,2689,1006,523,483
14000US36005016900,1141,492,278,214
14000US36005017100,0,0,0,0
