Geo_GEOID,Pop_Poverty
14000US36005000100,0
14000US36005000200,890
14000US36005000400,243
14000US36005001600,1038
14000US36005001901,486
14000US36005001902,267
14000US36005001903,0
14000US36005001904,0
14000US36005002001,2563
14000US36005002002,1250
14000US36005002300,1792
14000US36005002400,0
14000US36005002500,2307
14000US36005002701,1697
14000US36005002702,2267
14000US36005002800,295
14000US36005003100,339
14000US36005003300,1431
14000US36005003500,1383
14000US36005003700,57
14000US36005003800,236
14000US36005003900,2704
14000US36005004001,219
14000US36005004100,2784
14000US36005004200,1898
14000US36005004300,2052
14000US36005004400,2317
14000US36005004600,708
14000US36005004800,1241
14000US36005005001,1981
14000US36005005002,2352
14000US36005005100,3156
14000US36005005200,705
14000US36005005300,2984
14000US36005005400,1795
14000US36005005600,723
14000US36005005902,823
14000US36005006000,333
14000US36005006100,369
14000US36005006200,2042
14000US36005006301,1332
14000US36005006302,0
14000US36005006400,1066
14000US36005006500,2605
14000US36005006700,2933
14000US36005006800,857
14000US36005006900,2763
14000US36005007000,757
14000US36005007100,630
14000US36005007200,1573
14000US36005007300,2003
14000US36005007400,1099
14000US36005007500,2076
14000US36005007600,1205
14000US36005007700,504
14000US36005007800,953
14000US36005007900,2812
14000US36005008300,1717
14000US36005008400,317
14000US36005008500,1614
14000US36005008600,1587
14000US36005008700,2664
14000US36005008900,587
14000US36005009000,1180
14000US36005009200,1447
14000US36005009301,2049
14000US36005009302,0
14000US36005009600,439
14000US36005009800,737
14000US36005011000,0
14000US36005011502,1904
14000US36005011701,506
14000US36005011702,0
14000US36005011800,405
14000US36005011900,1585
14000US36005012101,797
14000US36005012102,537
14000US36005012300,703
14000US36005012500,1262
14000US36005012701,470
14000US36005012901,1532
14000US36005013000,244
14000US36005013100,1975
14000US36005013200,502
14000US36005013300,1304
14000US36005013500,1231
14000US36005013800,317
14000US36005014100,2115
14000US36005014300,541
14000US36005014400,1942
14000US36005014500,2676
14000US36005014701,2689
14000US36005014702,2173
14000US36005014900,1920
14000US36005015100,1712
14000US36005015200,432
14000US36005015300,1342
14000US36005015500,807
14000US36005015700,1682
14000US36005015800,228
14000US36005015900,847
14000US36005016000,513
14000US36005016100,1882
14000US36005016200,183
14000US36005016300,0
14000US36005016400,175
14000US36005016500,252
14000US36005016600,203
14000US36005016700,1346
14000US36005016900,627
